NS	A60K3UniformNumber	A60K3GaussNumber	A60K3ExponentialNumber	A60K4UniformNumber	A60K4GaussNumber	A60K4ExponentialNumber	A60K5UniformNumber	A60K5GaussNumber	A60K5ExponentialNumber	A60K6UniformNumber	A60K6GaussNumber	A60K6ExponentialNumber	A60K7UniformNumber	A60K7GaussNumber	A60K7ExponentialNumber	A180K3UniformNumber	A180K3GaussNumber	A180K3ExponentialNumber	A180K4UniformNumber	A180K4GaussNumber	A180K4ExponentialNumber	A180K5UniformNumber	A180K5GaussNumber	A180K5ExponentialNumber	A180K6UniformNumber	A180K6GaussNumber	A180K6ExponentialNumber	A180K7UniformNumber	A180K7GaussNumber	A180K7ExponentialNumber	A60K3UniformNumberStd	A60K3GaussNumberStd	A60K3ExponentialNumberStd	A60K4UniformNumberStd	A60K4GaussNumberStd	A60K4ExponentialNumberStd	A60K5UniformNumberStd	A60K5GaussNumberStd	A60K5ExponentialNumberStd	A60K6UniformNumberStd	A60K6GaussNumberStd	A60K6ExponentialNumberStd	A60K7UniformNumberStd	A60K7GaussNumberStd	A60K7ExponentialNumberStd	A180K3UniformNumberStd	A180K3GaussNumberStd	A180K3ExponentialNumberStd	A180K4UniformNumberStd	A180K4GaussNumberStd	A180K4ExponentialNumberStd	A180K5UniformNumberStd	A180K5GaussNumberStd	A180K5ExponentialNumberStd	A180K6UniformNumberStd	A180K6GaussNumberStd	A180K6ExponentialNumberStd	A180K7UniformNumberStd	A180K7GaussNumberStd	A180K7ExponentialNumberStd	A60K3UniformTime	A60K3GaussTime	A60K3ExponentialTime	A60K4UniformTime	A60K4GaussTime	A60K4ExponentialTime	A60K5UniformTime	A60K5GaussTime	A60K5ExponentialTime	A60K6UniformTime	A60K6GaussTime	A60K6ExponentialTime	A60K7UniformTime	A60K7GaussTime	A60K7ExponentialTime	A180K3UniformTime	A180K3GaussTime	A180K3ExponentialTime	A180K4UniformTime	A180K4GaussTime	A180K4ExponentialTime	A180K5UniformTime	A180K5GaussTime	A180K5ExponentialTime	A180K6UniformTime	A180K6GaussTime	A180K6ExponentialTime	A180K7UniformTime	A180K7GaussTime	A180K7ExponentialTime
50	58.2	57.4	58.2	78.2	78.0	77.8	98.8	98.0	101.4	118.4	118.8	118.8	141.0	140.0	143.2	59.0	58.2	57.6	78.6	78.4	77.4	99.8	98.2	99.2	119.0	118.2	121.8	141.0	140.4	138.0	0.01072	0.006803	0.006873	0.008006	0.008006	0.0	0.004049	0.0	0.042578	0.004138	0.009734	0.006299	0.036988	0.025153	0.029096	0.01072	0.006803	0.006803	0.005076	0.01005	0.005051	0.004879	0.004032	0.0075439999999999	0.004096	0.006331	0.037111	0.023307	0.011573	0.0045829999999999	338.6	465.8	331.4	355.6	491.6	361.8	357.2	486.4	373.0	380.0	525.0	407.0	393.6	532.2	418.0	336.2	448.6	468.8	350.0	463.8	345.6	358.8	488.6	363.6	385.6	511.4	382.6	398.8	526.8	389.8
80	58.6	57.6	57.8	78.2	77.0	78.6	98.6	97.8	97.8	118.4	120.4	120.2	141.8	140.2	139.4	57.8	57.4	58.2	78.0	77.4	78.8	98.2	97.6	99.4	118.8	117.8	119.4	141.0	138.8	144.2	0.006803	0.006689	0.0	0.00617	0.008214	0.0	0.011928	0.0049689999999999	0.007652	0.0067569999999999	0.044449	0.003328	0.025388	0.006989	0.005739	0.0067569999999999	0.008505	0.006803	0.008006	0.005051	0.010076	0.009978	0.0075439999999999	0.004929	0.006689	0.013582	0.012227	0.0287209999999999	0.012395	0.052887	563.0	721.2	592.4	575.2	754.2	597.6	563.4	758.2	602.4	595.6	793.4	633.0	624.4	829.2	639.8	567.4	715.0	571.2	564.0	763.4	594.4	593.2	764.8	596.4	607.6	791.0	617.8	650.6	814.2	659.8
110	58.0	57.2	58.8	78.0	77.6	78.6	97.8	98.4	98.8	117.6	119.6	130.0	151.6	141.6	153.2	57.8	57.4	57.6	77.2	77.4	78.0	97.4	99.2	99.4	118.8	119.6	120.0	140.4	143.4	146.4	0.012858	0.0067569999999999	0.006689	0.005051	0.0094489999999999	0.00617	0.011924	0.013785	0.011804	0.004103	0.004096	0.074262	0.132229	0.017066	0.134623	0.01072	0.0	0.0067569999999999	0.0094489999999999	0.005115	0.005051	0.007498	0.044811	0.006325	0.035072	0.004096	0.00527	0.009661	0.026645	0.066169	794.4	1034.4	832.8	810.2	1035.8	830.2	802.0	1069.6	846.0	817.2	1104.4	871.6	836.0	1117.6	902.8	766.8	1000.8	783.0	807.8	1047.6	785.6	820.0	1053.0	822.2	855.8	1118.6	845.6	851.6	1150.6	865.4
140	57.2	57.4	58.4	79.0	76.8	78.0	98.8	98.2	98.6	125.2	116.4	121.2	140.2	153.0	154.0	58.0	57.2	58.2	77.8	77.0	77.8	99.8	99.0	98.2	134.6	121.0	123.8	152.4	145.6	148.0	0.0082469999999999	0.0067569999999999	0.006803	0.008006	0.015185	0.005013	0.004919	0.008048	0.0040079999999999	0.083832	0.011653	0.015999	0.002853	0.108662	0.140716	0.0	0.013423	0.0	0.005141	0.008006	0.010178	0.011685	0.004929	0.004929	0.220773	0.054068	0.066098	0.146817	0.040887	0.056692	1311.4	1704.2	1163.0	1178.0	1452.0	1170.2	1110.6	1437.6	1176.6	1163.4	1475.8	1184.4	1149.4	1493.6	1225.8	1115.4	1408.8	1165.4	1108.2	1424.6	1121.0	1110.8	1452.2	1163.8	1143.0	1509.2	1193.2	1170.4	1515.8	1209.4
170	57.6	57.6	57.8	77.4	77.6	78.8	103.4	97.4	99.2	124.8	118.4	120.0	195.0	146.6	151.0	57.4	57.0	57.8	77.4	78.4	78.0	98.6	98.2	99.0	120.0	128.6	122.8	139.4	177.4	155.8	0.0	0.0	0.0067569999999999	0.006233	0.0094489999999999	0.00617	0.110031	0.0040079999999999	0.014815	0.069375	0.0067569999999999	0.0	0.387334	0.093787	0.075228	0.0082469999999999	0.013652	0.00822	0.005051	0.010204	0.005013	0.0075439999999999	0.008048	0.009035	0.00527	0.097818	0.022685	0.005739	0.209037	0.102728	1442.8	1803.8	1455.0	1438.2	1850.2	1529.2	1426.2	1892.2	1527.6	1441.2	1861.2	1527.2	1450.4	1942.8	1496.8	1416.4	1832.2	1466.6	1416.0	1852.8	1418.8	1399.8	1869.6	1453.4	1417.4	1874.0	1480.8	1448.0	1928.4	1548.2
200	57.8	57.2	57.6	82.8	76.8	79.6	99.8	101.0	98.4	120.2	125.0	120.4	157.6	159.8	151.2	57.4	57.2	58.8	77.6	76.8	77.8	103.2	99.4	99.8	123.8	119.6	124.0	208.2	164.0	140.2	0.006873	0.0	0.0082469999999999	0.104005	0.00617	0.029301	0.007498	0.034865	0.004979	0.003328	0.092607	0.030899	0.194881	0.100313	0.097328	0.008535	0.006873	0.016663	0.005051	0.005208	0.0	0.100741	0.004919	0.0040079999999999	0.0655029999999999	0.02828	0.07267	0.316257	0.18619	0.020868	1729.2	2122.0	1829.0	1747.4	2235.0	1819.0	1724.0	2272.8	1817.6	1779.8	2270.0	1797.8	1737.2	2325.8	1863.6	1679.4	2430.0	1784.2	1722.0	2138.6	1865.8	1714.0	2254.2	1817.0	1721.4	2267.6	1866.6	1761.2	2349.2	1850.2
