NS	K9UniformNumber	K9GaussNumber	K9ExponentialNumber	K11UniformNumber	K11GaussNumber	K11ExponentialNumber	K13UniformNumber	K13GaussNumber	K13ExponentialNumber	K15UniformNumber	K15GaussNumber	K15ExponentialNumber	K17UniformNumber	K17GaussNumber	K17ExponentialNumber	K9UniformTime	K9GaussTime	K9ExponentialTime	K11UniformTime	K11GaussTime	K11ExponentialTime	K13UniformTime	K13GaussTime	K13ExponentialTime	K15UniformTime	K15GaussTime	K15ExponentialTime	K17UniformTime	K17GaussTime	K17ExponentialTime
1000	95.0	226.0	224.0	147.0	288.0	288.0	213.0	353.0	356.0	282.0	420.0	428.0	356.0	490.0	503.0	2527.0	2660.0	2623.0	1878.0	2142.0	1988.0	1886.0	2126.0	2127.0	1885.0	2033.0	2083.0	1929.0	2032.0	2025.0
1250	62.0	215.0	203.0	105.0	275.0	264.0	159.0	336.0	329.0	221.0	402.0	396.0	287.0	468.0	464.0	2976.0	3128.0	3113.0	2944.0	3300.0	3122.0	3044.0	3143.0	3244.0	2930.0	3204.0	3185.0	2945.0	3215.0	3226.0
1500	21.0	206.0	182.0	49.0	264.0	236.0	88.0	324.0	293.0	139.0	385.0	352.0	198.0	447.0	415.0	4164.0	4485.0	4504.0	4192.0	4533.0	4519.0	4179.0	4601.0	4568.0	4196.0	4658.0	4683.0	4194.0	4684.0	4667.0
1750	8.0	200.0	179.0	18.0	252.0	229.0	42.0	307.0	282.0	80.0	365.0	338.0	126.0	426.0	396.0	5685.0	6144.0	6276.0	5816.0	6243.0	6263.0	5768.0	6246.0	6230.0	5756.0	6394.0	6320.0	5818.0	6450.0	6412.0
2000	0.0	197.0	165.0	1.0	248.0	216.0	11.0	302.0	270.0	33.0	358.0	325.0	66.0	414.0	383.0	7348.0	8277.0	8102.0	7452.0	8228.0	8245.0	7489.0	8278.0	8225.0	7576.0	8415.0	8370.0	7598.0	8491.0	8438.0
