NS	A60K3UniformNumber	A60K3GaussNumber	A60K3ExponentialNumber	A60K4UniformNumber	A60K4GaussNumber	A60K4ExponentialNumber	A60K5UniformNumber	A60K5GaussNumber	A60K5ExponentialNumber	A60K6UniformNumber	A60K6GaussNumber	A60K6ExponentialNumber	A60K7UniformNumber	A60K7GaussNumber	A60K7ExponentialNumber	A180K3UniformNumber	A180K3GaussNumber	A180K3ExponentialNumber	A180K4UniformNumber	A180K4GaussNumber	A180K4ExponentialNumber	A180K5UniformNumber	A180K5GaussNumber	A180K5ExponentialNumber	A180K6UniformNumber	A180K6GaussNumber	A180K6ExponentialNumber	A180K7UniformNumber	A180K7GaussNumber	A180K7ExponentialNumber	A60K3UniformTime	A60K3GaussTime	A60K3ExponentialTime	A60K4UniformTime	A60K4GaussTime	A60K4ExponentialTime	A60K5UniformTime	A60K5GaussTime	A60K5ExponentialTime	A60K6UniformTime	A60K6GaussTime	A60K6ExponentialTime	A60K7UniformTime	A60K7GaussTime	A60K7ExponentialTime	A180K3UniformTime	A180K3GaussTime	A180K3ExponentialTime	A180K4UniformTime	A180K4GaussTime	A180K4ExponentialTime	A180K5UniformTime	A180K5GaussTime	A180K5ExponentialTime	A180K6UniformTime	A180K6GaussTime	A180K6ExponentialTime	A180K7UniformTime	A180K7GaussTime	A180K7ExponentialTime
50	49.0	46.0	48.0	68.0	64.0	66.0	87.0	83.0	84.0	106.0	102.0	103.0	125.0	121.0	122.0	48.0	49.0	45.0	67.0	68.0	63.0	87.0	87.0	82.0	107.0	106.0	101.0	127.0	125.0	121.0	12.0	10.0	12.0	11.0	10.0	10.0	8.0	8.0	7.0	7.0	7.0	7.0	7.0	6.0	7.0	9.0	9.0	9.0	9.0	9.0	8.0	9.0	9.0	9.0	10.0	7.0	10.0	7.0	7.0	6.0
80	41.0	40.0	42.0	58.0	58.0	59.0	76.0	76.0	77.0	94.0	94.0	96.0	113.0	113.0	115.0	41.0	38.0	43.0	58.0	55.0	60.0	76.0	72.0	77.0	94.0	90.0	95.0	113.0	109.0	113.0	20.0	18.0	19.0	17.0	19.0	18.0	20.0	24.0	23.0	18.0	20.0	21.0	17.0	32.0	20.0	20.0	35.0	20.0	19.0	34.0	25.0	20.0	20.0	20.0	20.0	21.0	19.0	20.0	20.0	19.0
110	36.0	30.0	41.0	51.0	46.0	58.0	68.0	63.0	75.0	85.0	81.0	93.0	103.0	99.0	111.0	36.0	38.0	39.0	52.0	54.0	54.0	68.0	70.0	70.0	85.0	87.0	86.0	103.0	105.0	102.0	37.0	34.0	37.0	62.0	31.0	34.0	28.0	24.0	29.0	27.0	24.0	30.0	27.0	24.0	31.0	23.0	38.0	29.0	23.0	24.0	32.0	24.0	24.0	25.0	24.0	25.0	26.0	24.0	24.0	26.0
140	31.0	25.0	36.0	45.0	37.0	51.0	60.0	51.0	67.0	76.0	67.0	84.0	94.0	83.0	102.0	32.0	28.0	38.0	47.0	41.0	54.0	62.0	56.0	70.0	77.0	72.0	86.0	93.0	88.0	102.0	36.0	37.0	40.0	37.0	39.0	41.0	37.0	41.0	41.0	38.0	52.0	41.0	38.0	40.0	40.0	38.0	38.0	41.0	38.0	43.0	42.0	39.0	40.0	41.0	39.0	56.0	42.0	39.0	39.0	44.0
170	24.0	28.0	35.0	39.0	41.0	48.0	56.0	56.0	62.0	74.0	71.0	77.0	92.0	87.0	93.0	20.0	25.0	36.0	34.0	37.0	51.0	48.0	51.0	66.0	64.0	65.0	82.0	80.0	81.0	98.0	56.0	58.0	61.0	56.0	56.0	60.0	56.0	57.0	61.0	56.0	57.0	63.0	57.0	57.0	62.0	56.0	56.0	63.0	56.0	70.0	62.0	57.0	63.0	59.0	56.0	70.0	59.0	52.0	56.0	60.0
200	19.0	22.0	33.0	30.0	33.0	46.0	45.0	44.0	59.0	60.0	58.0	73.0	76.0	75.0	89.0	17.0	19.0	35.0	27.0	29.0	48.0	40.0	41.0	61.0	55.0	55.0	74.0	70.0	71.0	88.0	73.0	77.0	82.0	71.0	87.0	79.0	72.0	75.0	80.0	72.0	76.0	79.0	74.0	77.0	80.0	72.0	79.0	80.0	73.0	77.0	81.0	74.0	77.0	82.0	73.0	78.0	81.0	73.0	78.0	82.0
