NS	A60K3UniformNumber	A60K3GaussNumber	A60K3ExponentialNumber	A60K4UniformNumber	A60K4GaussNumber	A60K4ExponentialNumber	A60K5UniformNumber	A60K5GaussNumber	A60K5ExponentialNumber	A60K6UniformNumber	A60K6GaussNumber	A60K6ExponentialNumber	A60K7UniformNumber	A60K7GaussNumber	A60K7ExponentialNumber	A180K3UniformNumber	A180K3GaussNumber	A180K3ExponentialNumber	A180K4UniformNumber	A180K4GaussNumber	A180K4ExponentialNumber	A180K5UniformNumber	A180K5GaussNumber	A180K5ExponentialNumber	A180K6UniformNumber	A180K6GaussNumber	A180K6ExponentialNumber	A180K7UniformNumber	A180K7GaussNumber	A180K7ExponentialNumber	A60K3UniformNumberStd	A60K3GaussNumberStd	A60K3ExponentialNumberStd	A60K4UniformNumberStd	A60K4GaussNumberStd	A60K4ExponentialNumberStd	A60K5UniformNumberStd	A60K5GaussNumberStd	A60K5ExponentialNumberStd	A60K6UniformNumberStd	A60K6GaussNumberStd	A60K6ExponentialNumberStd	A60K7UniformNumberStd	A60K7GaussNumberStd	A60K7ExponentialNumberStd	A180K3UniformNumberStd	A180K3GaussNumberStd	A180K3ExponentialNumberStd	A180K4UniformNumberStd	A180K4GaussNumberStd	A180K4ExponentialNumberStd	A180K5UniformNumberStd	A180K5GaussNumberStd	A180K5ExponentialNumberStd	A180K6UniformNumberStd	A180K6GaussNumberStd	A180K6ExponentialNumberStd	A180K7UniformNumberStd	A180K7GaussNumberStd	A180K7ExponentialNumberStd	A60K3UniformTime	A60K3GaussTime	A60K3ExponentialTime	A60K4UniformTime	A60K4GaussTime	A60K4ExponentialTime	A60K5UniformTime	A60K5GaussTime	A60K5ExponentialTime	A60K6UniformTime	A60K6GaussTime	A60K6ExponentialTime	A60K7UniformTime	A60K7GaussTime	A60K7ExponentialTime	A180K3UniformTime	A180K3GaussTime	A180K3ExponentialTime	A180K4UniformTime	A180K4GaussTime	A180K4ExponentialTime	A180K5UniformTime	A180K5GaussTime	A180K5ExponentialTime	A180K6UniformTime	A180K6GaussTime	A180K6ExponentialTime	A180K7UniformTime	A180K7GaussTime	A180K7ExponentialTime
50	49.0	45.0	48.0	67.0	64.0	65.0	85.8	83.0	83.0	104.2	102.0	102.0	123.6	121.0	121.2	48.0	48.0	45.0	67.0	67.2	63.0	86.0	86.6	82.0	105.8	105.2	101.0	125.6	125.0	121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004662	0.0	0.0	0.003839	0.0	0.0	0.003964	0.0	0.0033	0.0	0.0	0.0	0.0	0.005952	0.0	0.0	0.005657	0.0	0.003781	0.003802	0.0	0.0039	0.0	0.0	993.6	1158.4	1055.6	1231.4	1046.4	1102.2	1264.8	1053.4	1424.4	1618.6	1084.0	1297.8	1675.4	1166.6	1385.2	999.6	1163.8	1026.2	1036.4	1290.6	1075.4	1211.8	1330.6	1083.6	1474.8	1572.6	1112.2	1607.4	1174.8	1229.0
80	41.0	40.0	41.0	58.0	57.8	57.4	75.4	75.8	74.6	94.0	94.0	93.6	112.6	112.8	112.8	41.0	37.0	43.0	57.8	53.4	60.0	75.0	70.8	77.0	93.4	89.8	95.0	112.2	108.8	113.0	0.0	0.0	0.0	0.0	0.00692	0.008535	0.006497	0.005277	0.006567	0.0	0.0	0.005234	0.004351	0.003546	0.003546	0.0	0.0	0.0	0.00692	0.009174	0.0	0.0	0.00565	0.0	0.005245	0.004454	0.0	0.003565	0.003676	0.0	1718.8	1703.0	1741.4	1734.4	1987.4	2377.0	2181.2	1803.0	2965.8	1778.2	1784.4	2878.2	2475.0	2018.8	2821.8	1697.0	2309.4	1725.0	1881.6	2572.0	1728.2	2440.8	2259.4	1750.0	1984.4	2168.8	1790.6	2278.2	2062.6	1971.8
110	35.8	30.0	41.0	50.0	45.8	57.0	67.2	62.4	73.8	84.2	80.2	91.4	102.2	98.2	109.6	36.0	37.0	39.0	51.0	53.0	54.0	67.0	69.2	70.0	84.0	86.0	86.0	102.2	103.0	102.0	0.011173	0.0	0.0	0.0	0.008734	0.0	0.005952	0.007851	0.00542	0.004751	0.004988	0.00536	0.003914	0.004073	0.00447	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00578	0.0	0.0	0.0	0.0	0.003914	0.0	0.0	2659.4	2512.4	2556.4	3365.6	2872.0	3034.4	3528.4	3193.8	3256.2	3312.6	3297.0	3337.6	3318.8	3572.0	3522.4	2525.0	2740.6	2531.4	2768.8	2903.4	2528.2	2875.0	3287.6	2518.8	3812.6	3615.6	2578.4	3343.8	3243.8	2687.6
140	30.0	24.0	35.0	44.2	36.0	50.0	58.4	51.0	65.8	74.4	67.0	82.2	92.2	83.0	99.6	32.0	28.0	38.0	47.0	40.4	52.0	62.0	55.4	67.8	77.0	71.0	83.6	93.0	88.0	100.4	0.0	0.0	0.0	0.00905	0.0	0.0	0.008389	0.0	0.006079	0.006585	0.0	0.004866	0.004338	0.0	0.004919	0.0	0.0	0.0	0.0	0.012126	0.0	0.0	0.008843	0.0059	0.0	0.0	0.00586	0.0	0.0	0.004879	4275.0	4309.4	3903.2	4540.8	4253.6	3525.4	4909.4	3318.8	4131.2	4403.2	3272.0	4093.8	4566.0	3428.2	4806.4	3472.0	3378.2	3512.8	3428.2	4337.8	3887.6	3350.0	4222.0	4013.0	3434.4	4278.2	5106.4	3375.0	3303.4	4631.4
170	23.0	27.0	35.0	36.6	39.0	48.0	52.8	54.8	61.0	70.2	70.0	76.2	87.6	86.2	91.4	19.2	25.0	36.0	33.0	37.0	50.0	47.4	50.0	65.0	63.0	64.2	81.0	79.4	81.0	97.4	0.0	0.0	0.0	0.013385	0.0	0.0	0.007576	0.007299	0.0	0.01066	0.0	0.005249	0.005592	0.00464	0.00536	0.020833	0.0	0.0	0.0	0.0	0.0	0.010335	0.012649	0.0	0.0	0.006231	0.0	0.00617	0.0	0.00503	6400.0	4756.2	4509.4	6465.8	6019.2	4425.2	7172.0	4862.4	5712.6	6531.4	4637.6	5388.2	5406.6	4862.4	5293.8	5978.2	4459.4	4547.0	5462.6	4315.6	5006.2	5087.4	6281.6	5565.8	5337.4	5987.8	6287.6	5190.6	4368.8	4687.8
200	18.8	21.6	32.0	30.0	33.0	44.0	44.2	44.0	58.0	59.6	57.6	73.0	75.0	74.6	88.2	16.8	19.0	35.0	27.0	28.0	47.6	40.0	40.0	61.0	55.0	54.0	74.0	69.6	69.0	88.0	0.021277	0.02268	0.0	0.0	0.0	0.0	0.016931	0.0	0.0	0.00822	0.008505	0.0	0.011926	0.006567	0.004535	0.02381	0.0	0.0	0.0	0.022588	0.010292	0.0	0.0	0.0	0.0	0.0	0.0	0.007039	0.0	0.0	6328.2	6875.0	6122.4	5547.0	5456.6	7037.6	5493.8	5262.4	6468.8	6481.8	6281.8	5603.2	7003.8	6031.6	6528.2	6168.8	5628.2	5737.6	5537.8	6013.2	7538.0	5403.4	7469.2	5459.8	5306.4	6306.4	5456.4	6790.8	7325.0	5666.0
