K	A60NS50UniformNumber	A60NS80UniformNumber	A60NS110UniformNumber	A60NS140UniformNumber	A60NS170UniformNumber	A60NS200UniformNumber	A180NS50UniformNumber	A180NS80UniformNumber	A180NS110UniformNumber	A180NS140UniformNumber	A180NS170UniformNumber	A180NS200UniformNumber	A60NS50GaussNumber	A60NS80GaussNumber	A60NS110GaussNumber	A60NS140GaussNumber	A60NS170GaussNumber	A60NS200GaussNumber	A180NS50GaussNumber	A180NS80GaussNumber	A180NS110GaussNumber	A180NS140GaussNumber	A180NS170GaussNumber	A180NS200GaussNumber	A60NS50ExponentialNumber	A60NS80ExponentialNumber	A60NS110ExponentialNumber	A60NS140ExponentialNumber	A60NS170ExponentialNumber	A60NS200ExponentialNumber	A180NS50ExponentialNumber	A180NS80ExponentialNumber	A180NS110ExponentialNumber	A180NS140ExponentialNumber	A180NS170ExponentialNumber	A180NS200ExponentialNumber	A60NS50UniformTime	A60NS80UniformTime	A60NS110UniformTime	A60NS140UniformTime	A60NS170UniformTime	A60NS200UniformTime	A180NS50UniformTime	A180NS80UniformTime	A180NS110UniformTime	A180NS140UniformTime	A180NS170UniformTime	A180NS200UniformTime	A60NS50GaussTime	A60NS80GaussTime	A60NS110GaussTime	A60NS140GaussTime	A60NS170GaussTime	A60NS200GaussTime	A180NS50GaussTime	A180NS80GaussTime	A180NS110GaussTime	A180NS140GaussTime	A180NS170GaussTime	A180NS200GaussTime	A60NS50ExponentialTime	A60NS80ExponentialTime	A60NS110ExponentialTime	A60NS140ExponentialTime	A60NS170ExponentialTime	A60NS200ExponentialTime	A180NS50ExponentialTime	A180NS80ExponentialTime	A180NS110ExponentialTime	A180NS140ExponentialTime	A180NS170ExponentialTime	A180NS200ExponentialTime
3	49.0	41.0	36.0	31.0	24.0	19.0	48.0	41.0	36.0	32.0	20.0	17.0	46.0	40.0	30.0	25.0	28.0	22.0	49.0	38.0	38.0	28.0	25.0	19.0	48.0	42.0	41.0	36.0	35.0	33.0	45.0	43.0	39.0	38.0	36.0	35.0	12.0	20.0	37.0	36.0	56.0	73.0	9.0	20.0	23.0	38.0	56.0	72.0	10.0	18.0	34.0	37.0	58.0	77.0	9.0	35.0	38.0	38.0	56.0	79.0	12.0	19.0	37.0	40.0	61.0	82.0	9.0	20.0	29.0	41.0	63.0	80.0
4	68.0	58.0	51.0	45.0	39.0	30.0	67.0	58.0	52.0	47.0	34.0	27.0	64.0	58.0	46.0	37.0	41.0	33.0	68.0	55.0	54.0	41.0	37.0	29.0	66.0	59.0	58.0	51.0	48.0	46.0	63.0	60.0	54.0	54.0	51.0	48.0	11.0	17.0	62.0	37.0	56.0	71.0	9.0	19.0	23.0	38.0	56.0	73.0	10.0	19.0	31.0	39.0	56.0	87.0	9.0	34.0	24.0	43.0	70.0	77.0	10.0	18.0	34.0	41.0	60.0	79.0	8.0	25.0	32.0	42.0	62.0	81.0
5	87.0	76.0	68.0	60.0	56.0	45.0	87.0	76.0	68.0	62.0	48.0	40.0	83.0	76.0	63.0	51.0	56.0	44.0	87.0	72.0	70.0	56.0	51.0	41.0	84.0	77.0	75.0	67.0	62.0	59.0	82.0	77.0	70.0	70.0	66.0	61.0	8.0	20.0	28.0	37.0	56.0	72.0	9.0	20.0	24.0	39.0	57.0	74.0	8.0	24.0	24.0	41.0	57.0	75.0	9.0	20.0	24.0	40.0	63.0	77.0	7.0	23.0	29.0	41.0	61.0	80.0	9.0	20.0	25.0	41.0	59.0	82.0
6	106.0	94.0	85.0	76.0	74.0	60.0	107.0	94.0	85.0	77.0	64.0	55.0	102.0	94.0	81.0	67.0	71.0	58.0	106.0	90.0	87.0	72.0	65.0	55.0	103.0	96.0	93.0	84.0	77.0	73.0	101.0	95.0	86.0	86.0	82.0	74.0	7.0	18.0	27.0	38.0	56.0	72.0	10.0	20.0	24.0	39.0	56.0	73.0	7.0	20.0	24.0	52.0	57.0	76.0	7.0	21.0	25.0	56.0	70.0	78.0	7.0	21.0	30.0	41.0	63.0	79.0	10.0	19.0	26.0	42.0	59.0	81.0
7	125.0	113.0	103.0	94.0	92.0	76.0	127.0	113.0	103.0	93.0	80.0	70.0	121.0	113.0	99.0	83.0	87.0	75.0	125.0	109.0	105.0	88.0	81.0	71.0	122.0	115.0	111.0	102.0	93.0	89.0	121.0	113.0	102.0	102.0	98.0	88.0	7.0	17.0	27.0	38.0	57.0	74.0	7.0	20.0	24.0	39.0	52.0	73.0	6.0	32.0	24.0	40.0	57.0	77.0	7.0	20.0	24.0	39.0	56.0	78.0	7.0	20.0	31.0	40.0	62.0	80.0	6.0	19.0	26.0	44.0	60.0	82.0
