NS	K9UniformTime	K9UniformNumber	K11UniformTime	K11UniformNumber	K13UniformTime	K13UniformNumber	K15UniformTime	K15UniformNumber	K17UniformTime	K17UniformNumber	K9GaussTime	K9GaussNumber	K11GaussTime	K11GaussNumber	K13GaussTime	K13GaussNumber	K15GaussTime	K15GaussNumber	K17GaussTime	K17GaussNumber	K9ExponentialTime	K9ExponentialNumber	K11ExponentialTime	K11ExponentialNumber	K13ExponentialTime	K13ExponentialNumber	K15ExponentialTime	K15ExponentialNumber	K17ExponentialTime	K17ExponentialNumber
1000	100240.2	90.0	137416.8	141.6	96968.6	207.4	101824.4	276.8	98918.6	354.2	111355.6	225.2	86530.4	287.8	79024.6	352.2	81746.6	419.4	103561.6	488.6	81457.6	224.0	121387.8	287.4	102512.8	355.2	105271.2	425.4	121803.8	498.6
1250	157037.0	58.6	135572.0	101.8	132843.6	153.6	128869.2	214.8	105774.6	279.6	162305.0	213.8	157989.6	273.6	123646.8	335.6	159257.0	399.6	141416.2	467.0	168174.6	202.8	112106.4	263.2	127402.8	325.6	148054.0	392.4	169220.2	460.4
1500	191274.0	18.8	180350.6	47.0	170130.0	85.0	161106.6	136.0	202339.6	194.4	216346.6	203.4	251690.2	259.6	176695.0	318.4	241355.8	377.2	206874.4	441.6	213377.0	180.2	257409.6	232.2	221886.4	289.8	218952.4	349.8	182667.4	414.6
1750	231381.4	5.2	206799.6	17.2	228111.4	41.2	196738.6	79.2	223332.2	124.0	302005.2	198.6	249190.2	251.4	279874.4	305.2	290075.4	363.6	256911.6	424.0	236134.8	178.2	248861.8	228.8	264202.2	281.6	270549.8	337.8	283937.4	395.4
2000	8806.4	0.0	115697.2	0.4	224864.8	9.8	313365.6	30.4	221556.8	59.8	362708.2	196.0	387371.4	247.6	343623.0	301.0	413685.0	356.4	292037.8	413.6	331029.2	164.4	434247.6	214.2	380098.6	268.2	378515.6	323.6	311753.0	383.0
