K	A60NS50UniformNumber	A60NS80UniformNumber	A60NS110UniformNumber	A60NS140UniformNumber	A60NS170UniformNumber	A60NS200UniformNumber	A180NS50UniformNumber	A180NS80UniformNumber	A180NS110UniformNumber	A180NS140UniformNumber	A180NS170UniformNumber	A180NS200UniformNumber	A60NS50GaussNumber	A60NS80GaussNumber	A60NS110GaussNumber	A60NS140GaussNumber	A60NS170GaussNumber	A60NS200GaussNumber	A180NS50GaussNumber	A180NS80GaussNumber	A180NS110GaussNumber	A180NS140GaussNumber	A180NS170GaussNumber	A180NS200GaussNumber	A60NS50ExponentialNumber	A60NS80ExponentialNumber	A60NS110ExponentialNumber	A60NS140ExponentialNumber	A60NS170ExponentialNumber	A60NS200ExponentialNumber	A180NS50ExponentialNumber	A180NS80ExponentialNumber	A180NS110ExponentialNumber	A180NS140ExponentialNumber	A180NS170ExponentialNumber	A180NS200ExponentialNumber	A60NS50UniformTime	A60NS80UniformTime	A60NS110UniformTime	A60NS140UniformTime	A60NS170UniformTime	A60NS200UniformTime	A180NS50UniformTime	A180NS80UniformTime	A180NS110UniformTime	A180NS140UniformTime	A180NS170UniformTime	A180NS200UniformTime	A60NS50GaussTime	A60NS80GaussTime	A60NS110GaussTime	A60NS140GaussTime	A60NS170GaussTime	A60NS200GaussTime	A180NS50GaussTime	A180NS80GaussTime	A180NS110GaussTime	A180NS140GaussTime	A180NS170GaussTime	A180NS200GaussTime	A60NS50ExponentialTime	A60NS80ExponentialTime	A60NS110ExponentialTime	A60NS140ExponentialTime	A60NS170ExponentialTime	A60NS200ExponentialTime	A180NS50ExponentialTime	A180NS80ExponentialTime	A180NS110ExponentialTime	A180NS140ExponentialTime	A180NS170ExponentialTime	A180NS200ExponentialTime
3	53.0	45.0	39.0	34.0	26.0	20.0	52.0	45.0	39.0	35.0	22.0	18.0	50.0	44.0	33.0	27.0	30.0	24.0	53.0	41.0	41.0	30.0	27.0	20.0	52.0	46.0	45.0	39.0	38.0	36.0	49.0	47.0	42.0	41.0	39.0	38.0	720.0	1200.0	2220.0	2160.0	3360.0	4380.0	540.0	1200.0	1380.0	2280.0	3360.0	4320.0	600.0	1080.0	2040.0	2220.0	3480.0	4620.0	540.0	2100.0	2280.0	2280.0	3360.0	4740.0	720.0	1140.0	2220.0	2400.0	3660.0	4920.0	540.0	1200.0	1740.0	2460.0	3780.0	4800.0
4	74.0	63.0	56.0	49.0	42.0	33.0	73.0	63.0	57.0	51.0	37.0	29.0	70.0	63.0	50.0	40.0	45.0	36.0	74.0	60.0	59.0	45.0	40.0	31.0	72.0	64.0	63.0	56.0	52.0	50.0	69.0	66.0	59.0	59.0	56.0	52.0	660.0	1020.0	3720.0	2220.0	3360.0	4260.0	540.0	1140.0	1380.0	2280.0	3360.0	4380.0	600.0	1140.0	1860.0	2340.0	3360.0	5220.0	540.0	2040.0	1440.0	2580.0	4200.0	4620.0	600.0	1080.0	2040.0	2460.0	3600.0	4740.0	480.0	1500.0	1920.0	2520.0	3720.0	4860.0
5	95.0	83.0	74.0	66.0	61.0	49.0	95.0	83.0	74.0	68.0	52.0	44.0	91.0	83.0	69.0	56.0	61.0	48.0	95.0	79.0	77.0	61.0	56.0	45.0	92.0	84.0	82.0	73.0	68.0	64.0	90.0	84.0	77.0	77.0	72.0	67.0	480.0	1200.0	1680.0	2220.0	3360.0	4320.0	540.0	1200.0	1440.0	2340.0	3420.0	4440.0	480.0	1440.0	1440.0	2460.0	3420.0	4500.0	540.0	1200.0	1440.0	2400.0	3780.0	4620.0	420.0	1380.0	1740.0	2460.0	3660.0	4800.0	540.0	1200.0	1500.0	2460.0	3540.0	4920.0
6	116.0	103.0	93.0	83.0	81.0	66.0	117.0	103.0	93.0	84.0	70.0	60.0	112.0	103.0	89.0	73.0	78.0	63.0	116.0	99.0	95.0	79.0	71.0	60.0	113.0	105.0	102.0	92.0	84.0	80.0	111.0	104.0	94.0	94.0	90.0	81.0	420.0	1080.0	1620.0	2280.0	3360.0	4320.0	600.0	1200.0	1440.0	2340.0	3360.0	4380.0	420.0	1200.0	1440.0	3120.0	3420.0	4560.0	420.0	1260.0	1500.0	3360.0	4200.0	4680.0	420.0	1260.0	1800.0	2460.0	3780.0	4740.0	600.0	1140.0	1560.0	2520.0	3540.0	4860.0
7	137.0	124.0	113.0	103.0	101.0	83.0	139.0	124.0	113.0	102.0	88.0	77.0	133.0	124.0	108.0	91.0	95.0	82.0	137.0	119.0	115.0	96.0	89.0	78.0	134.0	126.0	122.0	112.0	102.0	97.0	133.0	124.0	112.0	112.0	107.0	96.0	420.0	1020.0	1620.0	2280.0	3420.0	4440.0	420.0	1200.0	1440.0	2340.0	3120.0	4380.0	360.0	1920.0	1440.0	2400.0	3420.0	4620.0	420.0	1200.0	1440.0	2340.0	3360.0	4680.0	420.0	1200.0	1860.0	2400.0	3720.0	4800.0	360.0	1140.0	1560.0	2640.0	3600.0	4920.0
