NS	K9UniformNumber	K9GaussNumber	K9ExponentialNumber	K11UniformNumber	K11GaussNumber	K11ExponentialNumber	K13UniformNumber	K13GaussNumber	K13ExponentialNumber	K15UniformNumber	K15GaussNumber	K15ExponentialNumber	K17UniformNumber	K17GaussNumber	K17ExponentialNumber	K9UniformNumberStd	K9GaussNumberStd	K9ExponentialNumberStd	K11UniformNumberStd	K11GaussNumberStd	K11ExponentialNumberStd	K13UniformNumberStd	K13GaussNumberStd	K13ExponentialNumberStd	K15UniformNumberStd	K15GaussNumberStd	K15ExponentialNumberStd	K17UniformNumberStd	K17GaussNumberStd	K17ExponentialNumberStd	K9UniformTime	K9GaussTime	K9ExponentialTime	K11UniformTime	K11GaussTime	K11ExponentialTime	K13UniformTime	K13GaussTime	K13ExponentialTime	K15UniformTime	K15GaussTime	K15ExponentialTime	K17UniformTime	K17GaussTime	K17ExponentialTime
1000	160.0	62.0	83.0	191.0	118.0	98.0	409.0	190.0	182.0	447.0	209.0	307.0	385.0	227.0	331.0	0.14314929999999998	0.170597	0.3765559	0.17993779999999998	0.27224679999999996	0.18233319999999997	0.10453589999999999	0.06948829999999999	0.1531327	0.0832398	0.0606144	0.1083782	0.0785211	0.07235549999999999	0.0767837	16414.0	16836.0	16872.2	15882.0	16727.4	16592.8	17022.8	17677.0	17797.0	17472.6	17796.8	17993.6	16688.6	18002.8	18104.2
1250	161.0	63.0	192.0	314.0	100.0	169.0	296.0	186.0	224.0	624.0	242.0	332.0	660.0	274.0	379.0	0.3680649	0.2205517999999999	0.177163	0.1981546	0.21624749999999998	0.0663733	0.09466659999999999	0.10765999999999999	0.1542345	0.13272979999999998	0.0827729	0.09017889999999999	0.04693849999999993	0.07801639999999999	0.0820841	20814.8	20661.2	22977.6	21744.8	22077.8	23183.2	23272.4	22761.0	23034.0	22949.0	22503.4	23462.4	22922.2	23260.4	23557.8
1500	154.0	99.0	119.0	291.0	144.0	186.0	391.0	112.0	376.0	550.0	261.0	374.0	721.0	337.0	453.0	0.5028828	0.2329942999999999	0.33564649999999996	0.1867509	0.3211565	0.3217634	0.1834	0.20863919999999997	0.11415879999999992	0.051492699999999995	0.0810166	0.15567509999999998	0.1031625	0.0775061	0.0672252	25157.0	25776.6	25934.6	26327.6	26200.4	26206.0	26012.2	27074.6	28423.0	27066.2	27385.0	28801.8	28663.4	28921.2	29383.2
1750	400.0	73.0	166.0	380.0	182.0	226.0	592.0	245.0	355.0	719.0	297.0	418.0	974.0	402.0	547.0	0.25399289999999997	0.2729818	0.330841	0.39678729999999995	0.1919687	0.2277191	0.34324640000000006	0.0992096	0.14106259999999998	0.090608	0.17071669999999997	0.1013957	0.05068279999999999	0.03933299999999999	0.0683669	32232.4	32897.2	31723.4	31789.6	32383.0	31483.4	32091.2	32232.2	33945.6	32967.4	33424.4	33706.0	33444.6	33832.2	34526.0
2000	322.0	122.0	49.0	266.0	141.0	263.0	810.0	305.0	328.0	544.0	318.0	452.0	1047.0	464.0	564.0	0.2765231	0.2766302	0.23134159999999998	0.34213479999999996	0.1766884	0.34221739999999995	0.15774429999999992	0.19013119999999992	0.4066454	0.0682101	0.1332107	0.09121769999999993	0.12219549999999998	0.0576149	0.08118879999999999	36805.4	35909.0	35023.4	37715.0	38400.0	37344.6	38948.4	38049.4	37875.4	38380.6	37872.2	38858.0	39777.6	39406.6	40674.8
