NS	A60K3UniformNumber	A60K3GaussNumber	A60K3ExponentialNumber	A60K4UniformNumber	A60K4GaussNumber	A60K4ExponentialNumber	A60K5UniformNumber	A60K5GaussNumber	A60K5ExponentialNumber	A60K6UniformNumber	A60K6GaussNumber	A60K6ExponentialNumber	A60K7UniformNumber	A60K7GaussNumber	A60K7ExponentialNumber	A180K3UniformNumber	A180K3GaussNumber	A180K3ExponentialNumber	A180K4UniformNumber	A180K4GaussNumber	A180K4ExponentialNumber	A180K5UniformNumber	A180K5GaussNumber	A180K5ExponentialNumber	A180K6UniformNumber	A180K6GaussNumber	A180K6ExponentialNumber	A180K7UniformNumber	A180K7GaussNumber	A180K7ExponentialNumber	A60K3UniformTime	A60K3GaussTime	A60K3ExponentialTime	A60K4UniformTime	A60K4GaussTime	A60K4ExponentialTime	A60K5UniformTime	A60K5GaussTime	A60K5ExponentialTime	A60K6UniformTime	A60K6GaussTime	A60K6ExponentialTime	A60K7UniformTime	A60K7GaussTime	A60K7ExponentialTime	A180K3UniformTime	A180K3GaussTime	A180K3ExponentialTime	A180K4UniformTime	A180K4GaussTime	A180K4ExponentialTime	A180K5UniformTime	A180K5GaussTime	A180K5ExponentialTime	A180K6UniformTime	A180K6GaussTime	A180K6ExponentialTime	A180K7UniformTime	A180K7GaussTime	A180K7ExponentialTime
50	53.0	50.0	52.0	74.0	70.0	72.0	95.0	91.0	92.0	116.0	112.0	113.0	137.0	133.0	134.0	52.0	53.0	49.0	73.0	74.0	69.0	95.0	95.0	90.0	117.0	116.0	111.0	139.0	137.0	133.0	720.0	600.0	720.0	660.0	600.0	600.0	480.0	480.0	420.0	420.0	420.0	420.0	420.0	360.0	420.0	540.0	540.0	540.0	540.0	540.0	480.0	540.0	540.0	540.0	600.0	420.0	600.0	420.0	420.0	360.0
80	45.0	44.0	46.0	63.0	63.0	64.0	83.0	83.0	84.0	103.0	103.0	105.0	124.0	124.0	126.0	45.0	41.0	47.0	63.0	60.0	66.0	83.0	79.0	84.0	103.0	99.0	104.0	124.0	119.0	124.0	1200.0	1080.0	1140.0	1020.0	1140.0	1080.0	1200.0	1440.0	1380.0	1080.0	1200.0	1260.0	1020.0	1920.0	1200.0	1200.0	2100.0	1200.0	1140.0	2040.0	1500.0	1200.0	1200.0	1200.0	1200.0	1260.0	1140.0	1200.0	1200.0	1140.0
110	39.0	33.0	45.0	56.0	50.0	63.0	74.0	69.0	82.0	93.0	89.0	102.0	113.0	108.0	122.0	39.0	41.0	42.0	57.0	59.0	59.0	74.0	77.0	77.0	93.0	95.0	94.0	113.0	115.0	112.0	2220.0	2040.0	2220.0	3720.0	1860.0	2040.0	1680.0	1440.0	1740.0	1620.0	1440.0	1800.0	1620.0	1440.0	1860.0	1380.0	2280.0	1740.0	1380.0	1440.0	1920.0	1440.0	1440.0	1500.0	1440.0	1500.0	1560.0	1440.0	1440.0	1560.0
140	34.0	27.0	39.0	49.0	40.0	56.0	66.0	56.0	73.0	83.0	73.0	92.0	103.0	91.0	112.0	35.0	30.0	41.0	51.0	45.0	59.0	68.0	61.0	77.0	84.0	79.0	94.0	102.0	96.0	112.0	2160.0	2220.0	2400.0	2220.0	2340.0	2460.0	2220.0	2460.0	2460.0	2280.0	3120.0	2460.0	2280.0	2400.0	2400.0	2280.0	2280.0	2460.0	2280.0	2580.0	2520.0	2340.0	2400.0	2460.0	2340.0	3360.0	2520.0	2340.0	2340.0	2640.0
170	26.0	30.0	38.0	42.0	45.0	52.0	61.0	61.0	68.0	81.0	78.0	84.0	101.0	95.0	102.0	22.0	27.0	39.0	37.0	40.0	56.0	52.0	56.0	72.0	70.0	71.0	90.0	88.0	89.0	107.0	3360.0	3480.0	3660.0	3360.0	3360.0	3600.0	3360.0	3420.0	3660.0	3360.0	3420.0	3780.0	3420.0	3420.0	3720.0	3360.0	3360.0	3780.0	3360.0	4200.0	3720.0	3420.0	3780.0	3540.0	3360.0	4200.0	3540.0	3120.0	3360.0	3600.0
200	20.0	24.0	36.0	33.0	36.0	50.0	49.0	48.0	64.0	66.0	63.0	80.0	83.0	82.0	97.0	18.0	20.0	38.0	29.0	31.0	52.0	44.0	45.0	67.0	60.0	60.0	81.0	77.0	78.0	96.0	4380.0	4620.0	4920.0	4260.0	5220.0	4740.0	4320.0	4500.0	4800.0	4320.0	4560.0	4740.0	4440.0	4620.0	4800.0	4320.0	4740.0	4800.0	4380.0	4620.0	4860.0	4440.0	4620.0	4920.0	4380.0	4680.0	4860.0	4380.0	4680.0	4920.0
