NS	K9UniformNumber	K9GaussNumber	K9ExponentialNumber	K11UniformNumber	K11GaussNumber	K11ExponentialNumber	K13UniformNumber	K13GaussNumber	K13ExponentialNumber	K15UniformNumber	K15GaussNumber	K15ExponentialNumber	K17UniformNumber	K17GaussNumber	K17ExponentialNumber	K9UniformNumberStd	K9GaussNumberStd	K9ExponentialNumberStd	K11UniformNumberStd	K11GaussNumberStd	K11ExponentialNumberStd	K13UniformNumberStd	K13GaussNumberStd	K13ExponentialNumberStd	K15UniformNumberStd	K15GaussNumberStd	K15ExponentialNumberStd	K17UniformNumberStd	K17GaussNumberStd	K17ExponentialNumberStd	K9UniformTime	K9GaussTime	K9ExponentialTime	K11UniformTime	K11GaussTime	K11ExponentialTime	K13UniformTime	K13GaussTime	K13ExponentialTime	K15UniformTime	K15GaussTime	K15ExponentialTime	K17UniformTime	K17GaussTime	K17ExponentialTime
1000	90.0	225.2	224.0	141.6	287.8	287.4	207.4	352.2	355.2	276.8	419.4	425.4	354.2	488.6	498.6	0.022222	0.001776	0.0	0.00565	0.00139	0.002784	0.008943	0.002125	0.002107	0.013205	0.001168	0.001152	0.010319	0.001637	0.002045	100240.2	111355.6	81457.6	137416.8	86530.4	121387.8	96968.6	79024.6	102512.8	101824.4	81746.6	105271.2	98918.6	103561.6	121803.8
1250	58.6	213.8	202.8	101.8	273.6	263.2	153.6	335.6	325.6	214.8	399.6	392.4	279.6	467.0	460.4	0.029754	0.001871	0.001972	0.011456	0.001791	0.00152	0.010578	0.00146	0.003132	0.004561	0.001226	0.001248	0.007704	0.001354	0.004256	157037.0	162305.0	168174.6	135572.0	157989.6	112106.4	132843.6	123646.8	127402.8	128869.2	159257.0	148054.0	105774.6	141416.2	169220.2
1500	18.8	203.4	180.2	47.0	259.6	232.2	85.0	318.4	289.8	136.0	377.2	349.8	194.4	441.6	414.6	0.039805	0.002409	0.004153	0.035603	0.003082	0.007894	0.029763	0.004701	0.005071	0.015424	0.001984	0.003793	0.020213	0.005084	0.001182	191274.0	216346.6	213377.0	180350.6	251690.2	257409.6	170130.0	176695.0	221886.4	161106.6	241355.8	218952.4	202339.6	206874.4	182667.4
1750	5.2	198.6	178.2	17.2	251.4	228.8	41.2	305.2	281.6	79.2	363.6	337.8	124.0	424.0	395.4	0.14391	0.002467	0.004199	0.023256	0.001949	0.001748	0.028306	0.003821	0.00174	0.014725	0.001347	0.001184	0.014426	0.001492	0.002023	231381.4	302005.2	236134.8	206799.6	249190.2	248861.8	228111.4	279874.4	264202.2	196738.6	290075.4	270549.8	223332.2	256911.6	283937.4
2000	0.0	196.0	164.4	0.4	247.6	214.2	9.8	301.0	268.2	30.4	356.4	323.6	59.8	413.6	383.0		0.0	0.00298	1.224745	0.001979	0.003494	0.099979	0.0	0.003653	0.049232	0.002245	0.003151	0.048926	0.001184	0.001651	8806.4	362708.2	331029.2	115697.2	387371.4	434247.6	224864.8	343623.0	380098.6	313365.6	413685.0	378515.6	221556.8	292037.8	311753.0
