NS	K9UniformNumber	K9GaussNumber	K9ExponentialNumber	K11UniformNumber	K11GaussNumber	K11ExponentialNumber	K13UniformNumber	K13GaussNumber	K13ExponentialNumber	K15UniformNumber	K15GaussNumber	K15ExponentialNumber	K17UniformNumber	K17GaussNumber	K17ExponentialNumber	K9UniformTime	K9GaussTime	K9ExponentialTime	K11UniformTime	K11GaussTime	K11ExponentialTime	K13UniformTime	K13GaussTime	K13ExponentialTime	K15UniformTime	K15GaussTime	K15ExponentialTime	K17UniformTime	K17GaussTime	K17ExponentialTime
1000	123.0	293.0	291.0	191.0	374.0	374.0	276.0	458.0	462.0	366.0	546.0	556.0	462.0	637.0	653.0	50540.0	53200.0	52460.0	37560.0	42840.0	39760.0	37720.0	42520.0	42540.0	37700.0	40660.0	41660.0	38580.0	40640.0	40500.0
1250	80.0	279.0	263.0	136.0	357.0	343.0	206.0	436.0	427.0	287.0	522.0	514.0	373.0	608.0	603.0	59520.0	62560.0	62260.0	58880.0	66000.0	62440.0	60880.0	62860.0	64880.0	58600.0	64080.0	63700.0	58900.0	64300.0	64520.0
1500	27.0	267.0	236.0	63.0	343.0	306.0	114.0	421.0	380.0	180.0	500.0	457.0	257.0	581.0	539.0	83280.0	89700.0	90080.0	83840.0	90660.0	90380.0	83580.0	92020.0	91360.0	83920.0	93160.0	93660.0	83880.0	93680.0	93340.0
1750	10.0	260.0	232.0	23.0	327.0	297.0	54.0	399.0	366.0	104.0	474.0	439.0	163.0	553.0	514.0	113700.0	122880.0	125520.0	116320.0	124860.0	125260.0	115360.0	124920.0	124600.0	115120.0	127880.0	126400.0	116360.0	129000.0	128240.0
2000	0.0	256.0	214.0	1.0	322.0	280.0	14.0	392.0	351.0	42.0	465.0	422.0	85.0	538.0	497.0	146960.0	165540.0	162040.0	149040.0	164560.0	164900.0	149780.0	165560.0	164500.0	151520.0	168300.0	167400.0	151960.0	169820.0	168760.0
