K	A60NS50UniformNumber	A60NS80UniformNumber	A60NS110UniformNumber	A60NS140UniformNumber	A60NS170UniformNumber	A60NS200UniformNumber	A180NS50UniformNumber	A180NS80UniformNumber	A180NS110UniformNumber	A180NS140UniformNumber	A180NS170UniformNumber	A180NS200UniformNumber	A60NS50GaussNumber	A60NS80GaussNumber	A60NS110GaussNumber	A60NS140GaussNumber	A60NS170GaussNumber	A60NS200GaussNumber	A180NS50GaussNumber	A180NS80GaussNumber	A180NS110GaussNumber	A180NS140GaussNumber	A180NS170GaussNumber	A180NS200GaussNumber	A60NS50ExponentialNumber	A60NS80ExponentialNumber	A60NS110ExponentialNumber	A60NS140ExponentialNumber	A60NS170ExponentialNumber	A60NS200ExponentialNumber	A180NS50ExponentialNumber	A180NS80ExponentialNumber	A180NS110ExponentialNumber	A180NS140ExponentialNumber	A180NS170ExponentialNumber	A180NS200ExponentialNumber	A60NS50UniformTime	A60NS80UniformTime	A60NS110UniformTime	A60NS140UniformTime	A60NS170UniformTime	A60NS200UniformTime	A180NS50UniformTime	A180NS80UniformTime	A180NS110UniformTime	A180NS140UniformTime	A180NS170UniformTime	A180NS200UniformTime	A60NS50GaussTime	A60NS80GaussTime	A60NS110GaussTime	A60NS140GaussTime	A60NS170GaussTime	A60NS200GaussTime	A180NS50GaussTime	A180NS80GaussTime	A180NS110GaussTime	A180NS140GaussTime	A180NS170GaussTime	A180NS200GaussTime	A60NS50ExponentialTime	A60NS80ExponentialTime	A60NS110ExponentialTime	A60NS140ExponentialTime	A60NS170ExponentialTime	A60NS200ExponentialTime	A180NS50ExponentialTime	A180NS80ExponentialTime	A180NS110ExponentialTime	A180NS140ExponentialTime	A180NS170ExponentialTime	A180NS200ExponentialTime
3	49.0	41.0	35.8	30.0	23.0	18.8	48.0	41.0	36.0	32.0	19.2	16.8	45.0	40.0	30.0	24.0	27.0	21.6	48.0	37.0	37.0	28.0	25.0	19.0	48.0	41.0	41.0	35.0	35.0	32.0	45.0	43.0	39.0	38.0	36.0	35.0	993.6	1718.8	2659.4	4275.0	6400.0	6328.2	999.6	1697.0	2525.0	3472.0	5978.2	6168.8	1158.4	1703.0	2512.4	4309.4	4756.2	6875.0	1163.8	2309.4	2740.6	3378.2	4459.4	5628.2	1055.6	1741.4	2556.4	3903.2	4509.4	6122.4	1026.2	1725.0	2531.4	3512.8	4547.0	5737.6
4	67.0	58.0	50.0	44.2	36.6	30.0	67.0	57.8	51.0	47.0	33.0	27.0	64.0	57.8	45.8	36.0	39.0	33.0	67.2	53.4	53.0	40.4	37.0	28.0	65.0	57.4	57.0	50.0	48.0	44.0	63.0	60.0	54.0	52.0	50.0	47.6	1231.4	1734.4	3365.6	4540.8	6465.8	5547.0	1036.4	1881.6	2768.8	3428.2	5462.6	5537.8	1046.4	1987.4	2872.0	4253.6	6019.2	5456.6	1290.6	2572.0	2903.4	4337.8	4315.6	6013.2	1102.2	2377.0	3034.4	3525.4	4425.2	7037.6	1075.4	1728.2	2528.2	3887.6	5006.2	7538.0
5	85.8	75.4	67.2	58.4	52.8	44.2	86.0	75.0	67.0	62.0	47.4	40.0	83.0	75.8	62.4	51.0	54.8	44.0	86.6	70.8	69.2	55.4	50.0	40.0	83.0	74.6	73.8	65.8	61.0	58.0	82.0	77.0	70.0	67.8	65.0	61.0	1264.8	2181.2	3528.4	4909.4	7172.0	5493.8	1211.8	2440.8	2875.0	3350.0	5087.4	5403.4	1053.4	1803.0	3193.8	3318.8	4862.4	5262.4	1330.6	2259.4	3287.6	4222.0	6281.6	7469.2	1424.4	2965.8	3256.2	4131.2	5712.6	6468.8	1083.6	1750.0	2518.8	4013.0	5565.8	5459.8
6	104.2	94.0	84.2	74.4	70.2	59.6	105.8	93.4	84.0	77.0	63.0	55.0	102.0	94.0	80.2	67.0	70.0	57.6	105.2	89.8	86.0	71.0	64.2	54.0	102.0	93.6	91.4	82.2	76.2	73.0	101.0	95.0	86.0	83.6	81.0	74.0	1618.6	1778.2	3312.6	4403.2	6531.4	6481.8	1474.8	1984.4	3812.6	3434.4	5337.4	5306.4	1084.0	1784.4	3297.0	3272.0	4637.6	6281.8	1572.6	2168.8	3615.6	4278.2	5987.8	6306.4	1297.8	2878.2	3337.6	4093.8	5388.2	5603.2	1112.2	1790.6	2578.4	5106.4	6287.6	5456.4
7	123.6	112.6	102.2	92.2	87.6	75.0	125.6	112.2	102.2	93.0	79.4	69.6	121.0	112.8	98.2	83.0	86.2	74.6	125.0	108.8	103.0	88.0	81.0	69.0	121.2	112.8	109.6	99.6	91.4	88.2	121.0	113.0	102.0	100.4	97.4	88.0	1675.4	2475.0	3318.8	4566.0	5406.6	7003.8	1607.4	2278.2	3343.8	3375.0	5190.6	6790.8	1166.6	2018.8	3572.0	3428.2	4862.4	6031.6	1174.8	2062.6	3243.8	3303.4	4368.8	7325.0	1385.2	2821.8	3522.4	4806.4	5293.8	6528.2	1229.0	1971.8	2687.6	4631.4	4687.8	5666.0
